,Series/Tournament,Season,Unnamed: 2,Winner,Margin
536,Sri Lanka in Bangladesh Test Series,2005/06,,Sri Lanka,2-0 (2)
537,England in India Test Series,2005/06,,drawn,1-1 (3)
538,West Indies in New Zealand Test Series,2005/06,,New Zealand,2-0 (3)
539,Australia in South Africa Test Series,2005/06,,Australia,3-0 (3)
540,Pakistan in Sri Lanka Test Series,2005/06,,Pakistan,1-0 (2)
541,Australia in Bangladesh Test Series,2005/06,,Australia,2-0 (2)
542,New Zealand in South Africa Test Series,2005/06,,South Africa,2-0 (3)
543,Sri Lanka in England Test Series,2006,,drawn,1-1 (3)
544,India in West Indies Test Series,2006,,India,1-0 (4)
545,South Africa in Sri Lanka Test Series,2006,,Sri Lanka,2-0 (2)
546,Pakistan in England Test Series,2006,,England,3-0 (4)
547,West Indies in Pakistan Test Series,2006/07,,Pakistan,2-0 (3)
548,Sri Lanka in New Zealand Test Series,2006/07,,drawn,1-1 (2)
549,The Ashes (England in Australia),2006/07,,Australia,5-0 (5)
550,India in South Africa Test Series,2006/07,,South Africa,2-1 (3)
551,Pakistan in South Africa Test Series,2006/07,,South Africa,2-1 (3)
552,India in Bangladesh Test Series,2007,,India,1-0 (2)
553,The Wisden Trophy (West Indies in England),2007,,England,3-0 (4)
554,Bangladesh in Sri Lanka Test Series,2007,,Sri Lanka,3-0 (3)
555,Pataudi Trophy (India in England),2007,,India,1-0 (3)
556,South Africa in Pakistan Test Series,2007/08,,South Africa,1-0 (2)
557,New Zealand in South Africa Test Series,2007/08,,South Africa,2-0 (2)
558,Warne-Muralitharan Trophy (Sri Lanka in Australia),2007/08,,Australia,2-0 (2)
559,Pakistan in India Test Series,2007/08,,India,1-0 (3)
560,England in Sri Lanka Test Series,2007/08,,Sri Lanka,1-0 (3)
561,Sir Vivian Richards Trophy (West Indies in South Africa),2007/08,,South Africa,2-1 (3)
562,Bangladesh in New Zealand Test Series,2007/08,,New Zealand,2-0 (2)
563,Border-Gavaskar Trophy (India in Australia),2007/08,,Australia,2-1 (4)
564,South Africa in Bangladesh Test Series,2007/08,,South Africa,2-0 (2)
565,England in New Zealand Test Series,2007/08,,England,2-1 (3)
566,Sri Lanka in West Indies Test Series,2007/08,,drawn,1-1 (2)
567,South Africa in India Test Series,2007/08,,drawn,1-1 (3)
568,New Zealand in England Test Series,2008,,England,2-0 (3)
569,The Frank Worrell Trophy (Australia in West Indies),2008,,Australia,2-0 (3)
570,Basil D'Oliveira Trophy (South Africa in England),2008,,South Africa,2-1 (4)
571,India in Sri Lanka Test Series,2008,,Sri Lanka,2-1 (3)
572,New Zealand in Bangladesh Test Series,2008/09,,New Zealand,1-0 (2)
573,Border-Gavaskar Trophy (Australia in India),2008/09,,India,2-0 (4)
574,Bangladesh in South Africa Test Series,2008/09,,South Africa,2-0 (2)
575,Trans-Tasman Trophy (New Zealand in Australia),2008/09,,Australia,2-0 (2)
576,England in India Test Series,2008/09,,India,1-0 (2)
577,West Indies in New Zealand Test Series,2008/09,,drawn,0-0 (2)
578,Sri Lanka in Bangladesh Test Series,2008/09,,Sri Lanka,2-0 (2)
579,South Africa in Australia Test Series,2008/09,,South Africa,2-1 (3)
580,Sri Lanka in Pakistan Test Series,2008/09,,drawn,0-0 (2)
581,The Wisden Trophy (England in West Indies),2008/09,,West Indies,1-0 (5)
582,Australia in South Africa Test Series,2008/09,,Australia,2-1 (3)
583,India in New Zealand Test Series,2008/09,,India,1-0 (3)
584,The Wisden Trophy (West Indies in England),2009,,England,2-0 (2)
585,Bangladesh in West Indies Test Series,2009,,Bangladesh,2-0 (2)
586,Pakistan in Sri Lanka Test Series,2009,,Sri Lanka,2-0 (3)
587,The Ashes (Australia in England),2009,,England,2-1 (5)
588,New Zealand in Sri Lanka Test Series,2009,,Sri Lanka,2-0 (2)
589,Sri Lanka in India Test Series,2009/10,,India,2-0 (3)
590,Pakistan in New Zealand Test Series,2009/10,,drawn,1-1 (3)
591,The Frank Worrell Trophy (West Indies in Australia),2009/10,,Australia,2-0 (3)
592,Basil D'Oliveira Trophy (England in South Africa),2009/10,,drawn,1-1 (4)
593,Pakistan in Australia Test Series,2009/10,,Australia,3-0 (3)
594,India in Bangladesh Test Series,2009/10,,India,2-0 (2)
595,South Africa in India Test Series,2009/10,,drawn,1-1 (2)
596,Bangladesh in New Zealand Test Match,2009/10,,New Zealand,1-0 (1)
597,England in Bangladesh Test Series,2009/10,,England,2-0 (2)
598,Trans-Tasman Trophy (Australia in New Zealand),2009/10,,Australia,2-0 (2)
599,Bangladesh in England Test Series,2010,,England,2-0 (2)
600,Sir Vivian Richards Trophy (South Africa in West Indies),2010,,South Africa,2-0 (3)
601,"MCC Spirit of Cricket Test Series (Australia, Pakistan in England)",2010,,drawn,1-1 (2)
602,India in Sri Lanka Test Series,2010,,drawn,1-1 (3)
603,Pakistan in England Test Series,2010,,England,3-1 (4)
604,Border-Gavaskar Trophy (Australia in India),2010/11,,India,2-0 (2)
605,New Zealand in India Test Series,2010/11,,India,1-0 (3)
606,Pakistan v South Africa Test Series (in United Arab Emirates),2010/11,,drawn,0-0 (2)
607,West Indies in Sri Lanka Test Series,2010/11,,drawn,0-0 (3)
608,India in South Africa Test Series,2010/11,,drawn,1-1 (3)
609,The Ashes (England in Australia),2010/11,,England,3-1 (5)
610,Pakistan in New Zealand Test Series,2010/11,,Pakistan,1-0 (2)
611,Pakistan in West Indies Test Series,2011,,drawn,1-1 (2)
612,Sri Lanka in England Test Series,2011,,England,1-0 (3)
613,India in West Indies Test Series,2011,,India,1-0 (3)
614,Bangladesh in Zimbabwe Test Match,2011,,Zimbabwe,1-0 (1)
615,Pataudi Trophy (India in England),2011,,England,4-0 (4)
616,Pakistan in Zimbabwe Test Match,2011,,Pakistan,1-0 (1)
617,Warne-Muralitharan Trophy (Australia in Sri Lanka),2011,,Australia,1-0 (3)
618,West Indies in Bangladesh Test Series,2011/12,,West Indies,1-0 (2)
619,New Zealand in Zimbabwe Test Match,2011/12,,New Zealand,1-0 (1)
620,Pakistan v Sri Lanka Test Series (in United Arab Emirates),2011/12,,Pakistan,1-0 (3)
621,Australia in South Africa Test Series,2011/12,,drawn,1-1 (2)
622,West Indies in India Test Series,2011/12,,India,2-0 (3)
623,Trans-Tasman Trophy (New Zealand in Australia),2011/12,,drawn,1-1 (2)
624,Pakistan in Bangladesh Test Series,2011/12,,Pakistan,2-0 (2)
625,Sri Lanka in South Africa Test Series,2011/12,,South Africa,2-1 (3)
626,Border-Gavaskar Trophy (India in Australia),2011/12,,Australia,4-0 (4)
627,Zimbabwe in New Zealand Test Match,2011/12,,New Zealand,1-0 (1)
628,Pakistan v England Test Series (in United Arab Emirates),2011/12,,Pakistan,3-0 (3)
629,South Africa in New Zealand Test Series,2011/12,,South Africa,1-0 (3)
630,England in Sri Lanka Test Series,2011/12,,drawn,1-1 (2)
631,The Frank Worrell Trophy (Australia in West Indies),2011/12,,Australia,2-0 (3)
632,The Wisden Trophy (West Indies in England),2012,,England,2-0 (3)
633,Pakistan in Sri Lanka Test Series,2012,,Sri Lanka,1-0 (3)
634,New Zealand in West Indies Test Series,2012,,West Indies,2-0 (2)
635,Basil D'Oliveira Trophy (South Africa in England),2012,,South Africa,2-0 (3)
636,New Zealand in India Test Series,2012,,India,2-0 (2)
637,West Indies in Bangladesh Test Series,2012/13,,West Indies,2-0 (2)
638,New Zealand in Sri Lanka Test Series,2012/13,,drawn,1-1 (2)
639,South Africa in Australia Test Series,2012/13,,South Africa,1-0 (3)
640,England in India Test Series,2012/13,,England,2-1 (4)
641,Warne-Muralitharan Trophy (Sri Lanka in Australia),2012/13,,Australia,3-0 (3)
642,New Zealand in South Africa Test Series,2012/13,,South Africa,2-0 (2)
643,Pakistan in South Africa Test Series,2012/13,,South Africa,3-0 (3)
644,Bangladesh in Sri Lanka Test Series,2012/13,,Sri Lanka,1-0 (2)
645,Clive Lloyd Trophy (Zimbabwe in West Indies),2012/13,,West Indies,2-0 (2)
646,Border-Gavaskar Trophy (Australia in India),2012/13,,India,4-0 (4)
647,England in New Zealand Test Series,2012/13,,drawn,0-0 (3)
648,Bangladesh in Zimbabwe Test Series,2013,,drawn,1-1 (2)
649,New Zealand in England Test Series,2013,,England,2-0 (2)
650,The Ashes (Australia in England),2013,,England,3-0 (5)
651,Pakistan in Zimbabwe Test Series,2013,,drawn,1-1 (2)
652,New Zealand in Bangladesh Test Series,2013/14,,drawn,0-0 (2)
653,Pakistan v South Africa Test Series (in United Arab Emirates),2013/14,,drawn,1-1 (2)
654,West Indies in India Test Series,2013/14,,India,2-0 (2)
655,West Indies in New Zealand Test Series,2013/14,,New Zealand,2-0 (3)
656,India in South Africa Test Series,2013/14,,South Africa,1-0 (2)
657,The Ashes (England in Australia),2013/14,,Australia,5-0 (5)
658,Pakistan v Sri Lanka Test Series (in United Arab Emirates),2013/14,,drawn,1-1 (3)
659,Sri Lanka in Bangladesh Test Series,2013/14,,Sri Lanka,1-0 (2)
660,India in New Zealand Test Series,2013/14,,New Zealand,1-0 (2)
661,Australia in South Africa Test Series,2013/14,,Australia,2-1 (3)
662,Sri Lanka in England Test Series,2014,,Sri Lanka,1-0 (2)
663,New Zealand in West Indies Test Series,2014,,New Zealand,2-1 (3)
664,South Africa in Sri Lanka Test Series,2014,,South Africa,1-0 (2)
665,South Africa in Zimbabwe Test Match,2014,,South Africa,1-0 (1)
666,Pataudi Trophy (India in England),2014,,England,3-1 (5)
667,Pakistan in Sri Lanka Test Series,2014,,Sri Lanka,2-0 (2)
668,Bangladesh in West Indies Test Series,2014,,West Indies,2-0 (2)
669,Pakistan v Australia Test Series (in United Arab Emirates),2014/15,,Pakistan,2-0 (2)
670,Zimbabwe in Bangladesh Test Series,2014/15,,Bangladesh,3-0 (3)
671,Pakistan v New Zealand Test Series (in United Arab Emirates),2014/15,,drawn,1-1 (3)
672,Sir Vivian Richards Trophy (West Indies in South Africa),2014/15,,South Africa,2-0 (3)
673,Sri Lanka in New Zealand Test Series,2014/15,,New Zealand,2-0 (2)
674,Border-Gavaskar Trophy (India in Australia),2014/15,,Australia,2-0 (4)
675,The Wisden Trophy (England in West Indies),2015,,drawn,1-1 (3)
676,Pakistan in Bangladesh Test Series,2015,,Pakistan,1-0 (2)
677,New Zealand in England Test Series,2015,,drawn,1-1 (2)
678,India in Bangladesh Test Match,2015,,drawn,0-0 (1)
679,The Frank Worrell Trophy (Australia in West Indies),2015,,Australia,2-0 (2)
680,Pakistan in Sri Lanka Test Series,2015,,Pakistan,2-1 (3)
681,South Africa in Bangladesh Test Series,2015,,drawn,0-0 (2)
682,The Ashes (Australia in England),2015,,England,3-2 (5)
683,India in Sri Lanka Test Series,2015,,India,2-1 (3)
684,Sobers/Tissera Trophy (West Indies in Sri Lanka),2015/16,,Sri Lanka,2-0 (2)
685,Pakistan v England Test Series (in United Arab Emirates),2015/16,,Pakistan,2-0 (3)
686,Trans-Tasman Trophy [New Zealand in Australia],2015/16,,Australia,2-0 (3)
687,Freedom Trophy (South Africa in India),2015/16,,India,3-0 (4)
688,Sri Lanka in New Zealand Test Series,2015/16,,New Zealand,2-0 (2)
689,The Frank Worrell Trophy (West Indies in Australia),2015/16,,Australia,2-0 (3)
690,Basil D'Oliveira Trophy (England in South Africa),2015/16,,England,2-1 (4)
691,Trans-Tasman Trophy [Australia in New Zealand],2015/16,,Australia,2-0 (2)
692,Sri Lanka in England Test Series,2016,,England,2-0 (3)
693,New Zealand in Zimbabwe Test Series,2016,,New Zealand,2-0 (2)
694,Pakistan in England Test Series,2016,,drawn,2-2 (4)
695,Warne-Muralitharan Trophy (Australia in Sri Lanka),2016,,Sri Lanka,3-0 (3)
696,India in West Indies Test Series,2016,,India,2-0 (4)
697,New Zealand in South Africa Test Series,2016,,South Africa,1-0 (2)
698,New Zealand in India Test Series,2016/17,,India,3-0 (3)
699,England in Bangladesh Test Series,2016/17,,drawn,1-1 (2)
700,Pakistan v West Indies Test Series (in United Arab Emirates),2016/17,,Pakistan,2-1 (3)
701,Sri Lanka in Zimbabwe Test Series,2016/17,,Sri Lanka,2-0 (2)
702,South Africa in Australia Test Series,2016/17,,South Africa,2-1 (3)
703,Pakistan in New Zealand Test Series,2016/17,,New Zealand,2-0 (2)
704,England in India Test Series,2016/17,,India,4-0 (5)
705,Pakistan in Australia Test Series,2016/17,,Australia,3-0 (3)
706,Sri Lanka in South Africa Test Series,2016/17,,South Africa,3-0 (3)
707,Bangladesh in New Zealand Test Series,2016/17,,New Zealand,2-0 (2)
708,Bangladesh in India Test Match,2016/17,,India,1-0 (1)
709,Bangladesh in Sri Lanka Test Series,2016/17,,drawn,1-1 (2)
710,Border-Gavaskar Trophy (Australia in India),2016/17,,India,2-1 (4)
711,South Africa in New Zealand Test Series,2016/17,,South Africa,1-0 (3)
712,Pakistan in West Indies Test Series,2017,,Pakistan,2-1 (3)
713,Zimbabwe in Sri Lanka Test Match,2017,,Sri Lanka,1-0 (1)
714,Basil D'Oliveira Trophy (South Africa in England),2017,,England,3-1 (4)
715,India in Sri Lanka Test Series,2017,,India,3-0 (3)
716,Australia in Bangladesh Test Series,2017,,drawn,1-1 (2)
717,The Wisden Trophy (West Indies in England),2017,,England,2-1 (3)
718,Bangladesh in South Africa Test Series,2017/18,,South Africa,2-0 (2)
719,Pakistan v Sri Lanka Test Series (in United Arab Emirates),2017/18,,Sri Lanka,2-0 (2)
720,West Indies in Zimbabwe Test Series,2017/18,,West Indies,1-0 (2)
721,Sri Lanka in India Test Series,2017/18,,India,1-0 (3)
722,West Indies in New Zealand Test Series,2017/18,,New Zealand,2-0 (2)
723,Zimbabwe in South Africa Test Match,2017/18,,South Africa,1-0 (1)
724,The Ashes (England in Australia),2017/18,,Australia,4-0 (5)
725,Freedom Trophy (India in South Africa),2017/18,,South Africa,2-1 (3)
726,Sri Lanka in Bangladesh Test Series,2017/18,,Sri Lanka,1-0 (2)
727,Australia in South Africa Test Series,2017/18,,South Africa,3-1 (4)
728,England in New Zealand Test Series,2017/18,,New Zealand,1-0 (2)
729,Pakistan in Ireland Test Match,2018,,Pakistan,1-0 (1)
730,Pakistan in England Test Series,2018,,drawn,1-1 (2)
731,Afghanistan in India Test Match,2018,,India,1-0 (1)
732,Sobers/Tissera Trophy (Sri Lanka in West Indies),2018,,drawn,1-1 (3)
733,Bangladesh in West Indies Test Series,2018,,West Indies,2-0 (2)
734,South Africa in Sri Lanka Test Series,2018,,Sri Lanka,2-0 (2)
735,Pataudi Trophy (India in England),2018,,England,4-1 (5)
736,West Indies in India Test Series,2018/19,,India,2-0 (2)
737,Pakistan v Australia Test Series (in United Arab Emirates),2018/19,,Pakistan,1-0 (2)
738,Zimbabwe in Bangladesh Test Series,2018/19,,drawn,1-1 (2)
739,England in Sri Lanka Test Series,2018/19,,England,3-0 (3)
740,West Indies in Bangladesh Test Series,2018/19,,Bangladesh,2-0 (2)
741,Pakistan v New Zealand Test Series (in United Arab Emirates),2018/19,,New Zealand,2-1 (3)
742,Sri Lanka in New Zealand Test Series,2018/19,,New Zealand,1-0 (2)
743,Border-Gavaskar Trophy (India in Australia),2018/19,,India,2-1 (4)
744,Pakistan in South Africa Test Series,2018/19,,South Africa,3-0 (3)
745,Warne-Muralitharan Trophy (Sri Lanka in Australia),2018/19,,Australia,2-0 (2)
746,The Wisden Trophy (England in West Indies),2018/19,,West Indies,2-1 (3)
747,Sri Lanka in South Africa Test Series,2018/19,,Sri Lanka,2-0 (2)
748,Afghanistan v Ireland Test Match (in India),2018/19,,Afghanistan,1-0 (1)
749,Bangladesh in New Zealand Test Series,2018/19,,New Zealand,2-0 (2)
750,Ireland in England Test Match,2019,,England,1-0 (1)
751,New Zealand in Sri Lanka Test Series,2019,,drawn,1-1 (2)
752,India in West Indies Test Series,2019,,India,2-0 (2)
753,Afghanistan in Bangladesh Test Match,2019,,Afghanistan,1-0 (1)
754,The Ashes (Australia in England),2019,,drawn,2-2 (5)
755,Freedom Trophy (South Africa in India),2019/20,,India,3-0 (3)
756,Bangladesh in India Test Series,2019/20,,India,2-0 (2)
757,Afghanistan v West Indies Test Match (in India),2019/20,,West Indies,1-0 (1)
758,Pakistan in Australia Test Series,2019/20,,Australia,2-0 (2)
759,England in New Zealand Test Series,2019/20,,New Zealand,1-0 (2)
760,Sri Lanka in Pakistan Test Series,2019/20,,Pakistan,1-0 (2)
761,Trans-Tasman Trophy [New Zealand in Australia],2019/20,,Australia,3-0 (3)
762,Basil D'Oliveira Trophy (England in South Africa),2019/20,,England,3-1 (4)
763,Sri Lanka in Zimbabwe Test Series,2019/20,,Sri Lanka,1-0 (2)
764,Zimbabwe in Bangladesh Test Match,2019/20,,Bangladesh,1-0 (1)
765,India in New Zealand Test Series,2019/20,,New Zealand,2-0 (2)
766,England in Sri Lanka Test Series,2019/20,,-,
767,Bangladesh in Pakistan Test Series,2019/20,,Pakistan,1-0 (2)
768,Australia in Bangladesh Test Series,2020,,-,
769,The Wisden Trophy (West Indies in England),2020,,England,2-1 (3)
770,Pakistan in England Test Series,2020,,England,1-0 (3)
771,West Indies in New Zealand Test Series,2020/21,,New Zealand,2-0 (2)
772,Sri Lanka in South Africa Test Series,2020/21,,South Africa,2-0 (2)
773,Pakistan in New Zealand Test Series,2020/21,,New Zealand,2-0 (2)
774,Border-Gavaskar Trophy (India in Australia),2020/21,,India,2-1 (4)
775,England in Sri Lanka Test Series,2020/21,,England,2-0 (2)
776,South Africa in Pakistan Test Series,2020/21,,Pakistan,2-0 (2)
777,West Indies in Bangladesh Test Series,2020/21,,West Indies,2-0 (2)
778,Anthony de Mello Trophy (England in India),2020/21,,India,3-1 (4)
779,Afghanistan v Zimbabwe Test Series (in United Arab Emirates),2020/21,,drawn,1-1 (2)
780,Sri Lanka in West Indies Test Series,2020/21,,drawn,0-0 (2)
781,Bangladesh in Sri Lanka Test Series,2021,,Sri Lanka,1-0 (2)
782,Pakistan in Zimbabwe Test Series,2021,,Pakistan,2-0 (2)
783,New Zealand in England Test Series,2021,,New Zealand,1-0 (2)
784,Sir Vivian Richards Trophy (South Africa in West Indies),2021,,South Africa,2-0 (2)
785,India v New Zealand Test Match (in England),2021,,New Zealand,1-0 (1)
786,Bangladesh in Zimbabwe Test Match,2021,,Bangladesh,1-0 (1)
787,Pakistan in West Indies Test Series,2021,,drawn,1-1 (2)
788,Pataudi Trophy (India in England),2021,,India,
789,West Indies in Sri Lanka Test Series,2021/22,,Sri Lanka,2-0 (2)
790,New Zealand in India Test Series,2021/22,,India,1-0 (2)
791,Pakistan in Bangladesh Test Series,2021/22,,Pakistan,2-0 (2)
792,ICC World Test Championship,2021-2023,,-,
793,The Ashes (England in Australia),2021/22,,-,
